Offset-Description                                                                                                 
0000 - Pointer           189A30 : P->1002B6F98         189AD0 : P->1002B6F98         1898F0 : P->1002B6F98         
0008 - 4 Bytes           189A38 : 0                    189AD8 : 0                    1898F8 : 0                    
000C - 4 Bytes           189A3C : 0                    189ADC : 0                    1898FC : 0                    
0010 - 4 Bytes           189A40 : 0                    189AE0 : 0                    189900 : 0                    
0014 - Double            189A44 : 0.0078125            189AE4 : 0.0078125            189904 : 0.0078125            
001C - Float             189A4C : 1                    189AEC : 1                    18990C : 1                    
0020 - 4 Bytes           189A50 : 0                    189AF0 : 0                    189910 : 0                    
0024 - Double            189A54 : 0.000878906343132257 189AF4 : -0.000878906689322321189914 : -0.000878906456491677
002C - 4 Bytes           189A5C : 0                    189AFC : 0                    18991C : 0                    
0030 - 4 Bytes           189A60 : 0                    189B00 : 0                    189920 : 0                    
0034 - Float             189A64 : 9.299998283          189B04 : 172.698761           189924 : 187.301239           
0038 - 4 Bytes           189A68 : 0                    189B08 : 0                    189928 : 0                    
003C - 4 Bytes           189A6C : 0                    189B0C : 0                    18992C : 0                    
0040 - 4 Bytes           189A70 : 0                    189B10 : 0                    189930 : 0                    
0044 - Float             189A74 : 0.126000002          189B14 : 0.126000002          189934 : 0.126000002          
0048 - 4 Bytes           189A78 : 0                    189B18 : 0                    189938 : 0                    
004C - 4 Bytes           189A7C : 0                    189B1C : 0                    18993C : 0                    
0050 - 4 Bytes           189A80 : 0                    189B20 : 0                    189940 : 0                    
0054 - 4 Bytes           189A84 : 0                    189B24 : 0                    189944 : 0                    
0058 - 4 Bytes           189A88 : 0                    189B28 : 0                    189948 : 0                    
005C - 4 Bytes           189A8C : 0                    189B2C : 0                    18994C : 0                    
0060 - 4 Bytes           189A90 : 80                   189B30 : 199                  189950 : 199                  
0064 - 4 Bytes           189A94 : 100                  189B34 : 200                  189954 : 200                  
0068 - 4 Bytes           189A98 : 0                    189B38 : 1678864              189958 : 1678992              
006C - 4 Bytes           189A9C : 0                    189B3C : 0                    18995C : 0                    
0070 - 4 Bytes           189AA0 : 0                    189B40 : 1                    189960 : 1                    
0074 - 4 Bytes           189AA4 : 0                    189B44 : 0                    189964 : 0                    
0078 - 4 Bytes           189AA8 : 0                    189B48 : 256                  189968 : 256                  
007C - 4 Bytes           189AAC : 0                    189B4C : 0                    18996C : 0                    
0080 - 4 Bytes           189AB0 : 36                   189B50 : 0                    189970 : 36                   
0084 - 4 Bytes           189AB4 : 15                   189B54 : 0                    189974 : 15                   
0088 - Pointer           189AB8 : P->100000001         189B58 : P->00000000          189978 : P->100000001         
0090 - 4 Bytes           189AC0 : 0                    189B60 : 0                    189980 : 0                    
0094 - 4 Bytes           189AC4 : 0                    189B64 : 0                    189984 : 0                    
0098 - 4 Bytes (Hex)     189AC8 : 009980A1             189B68 : 00A380A1             189988 : 008580A1             
009C - 4 Bytes           189ACC : 0                    189B6C : 0                    18998C : 0                    
00A0 - Pointer           189AD0 : P->1002B6F98         189B70 : P->1002BE4F0         189990 : P->1002BE4F0         
00A8 - 4 Bytes           189AD8 : 0                    189B78 : 0                    189998 : 0                    
00AC - 4 Bytes           189ADC : 0                    189B7C : 0                    18999C : 0                    
00B0 - 4 Bytes           189AE0 : 0                    189B80 : 2875352              1899A0 : 2875352              
00B4 - Double            189AE4 : 0.0078125            189B84 : 2.59399555874126E-3081899A4 : 2.59399555874126E-308
00BC - Float             189AEC : 1                    189B8C : 0                    1899AC : 0                    
00C0 - 4 Bytes           189AF0 : 0                    189B90 : 0                    1899B0 : 0                    
00C4 - Float             189AF4 : -0.2049999982        189B94 : 0                    1899B4 : 0                    
00C8 - Float             189AF8 : -0.8000000119        189B98 : 0                    1899B8 : 0                    
00CC - 4 Bytes           189AFC : 0                    189B9C : 740425729            1899BC : 740425729            
00D0 - 4 Bytes           189B00 : 0                    189BA0 : 61                   1899C0 : 61                   
00D4 - Float             189B04 : 172.698761           189BA4 : 0                    1899C4 : 0                    
00D8 - 4 Bytes           189B08 : 0                    189BA8 : 0                    1899C8 : 0                    
00DC - 4 Bytes           189B0C : 0                    189BAC : 0                    1899CC : 0                    
00E0 - 4 Bytes           189B10 : 0                    189BB0 : 1                    1899D0 : 1                    
00E4 - Float             189B14 : 0.126000002          189BB4 : 0                    1899D4 : 0                    
00E8 - 4 Bytes           189B18 : 0                    189BB8 : 2886768              1899D8 : 2886768              
00EC - 4 Bytes           189B1C : 0                    189BBC : 1                    1899DC : 1                    
00F0 - 4 Bytes           189B20 : 0                    189BC0 : 1                    1899E0 : 1                    
00F4 - 4 Bytes           189B24 : 0                    189BC4 : 0                    1899E4 : 0                    
00F8 - 4 Bytes           189B28 : 0                    189BC8 : 1188336              1899E8 : 1187952              
00FC - 4 Bytes           189B2C : 0                    189BCC : 0                    1899EC : 0                    
0100 - 4 Bytes           189B30 : 199                  189BD0 : 1                    1899F0 : 1                    
0104 - 4 Bytes           189B34 : 200                  189BD4 : 4                    1899F4 : 4                    
0108 - Pointer to instance of THealthBar189B38 : P->00199E10          189BD8 : P->00000000          1899F8 : P->00000000          
0110 - 4 Bytes           189B40 : 1                    189BE0 : 0                    189A00 : 0                    
0114 - 4 Bytes           189B44 : 0                    189BE4 : 0                    189A04 : 0                    
0118 - 4 Bytes           189B48 : 256                  189BE8 : 0                    189A08 : 0                    
011C - 4 Bytes           189B4C : 0                    189BEC : 0                    189A0C : 0                    
0120 - 4 Bytes           189B50 : 0                    189BF0 : 0                    189A10 : 0                    
0124 - 4 Bytes           189B54 : 0                    189BF4 : 0                    189A14 : 0                    
0128 - 4 Bytes           189B58 : 0                    189BF8 : 0                    189A18 : 0                    
